experiment	item	condition	contextLabel	conditionLabel	cleft	 context	text	design	qType	question
rex1	3	4	Def	Can	Subj	Fred, Nono et Seb apportent souvent des croissants.	Dimanche matin Fred en a apportés mais je ne sais pas si les autres en ont apportés	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	3	5	Def	Clv	Subj	Fred, Nono et Seb apportent souvent des croissants.	Dimanche matin c'est Fred qui en a apportés mais je ne sais pas si les autres en ont apportés	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	3	6	Def	Exc	Subj	Fred, Nono et Seb apportent souvent des croissants.	Dimanche matin il n'y a que Fred qui en a apportés mais je ne sais pas si les autres en ont apportés	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	4	1	Ind	Can	Subj	A l'auberge, Mélanie, Ludo et Cyrille font souvent la cuisine.	Ce soir, Ludo a fait la cuisine mais je ne sais pas si quelqu'un d'autre a fait la cuisine	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	4	2	Ind	Clv	Subj	A l'auberge, Mélanie, Ludo et Cyrille font souvent la cuisine.	Ce soir, c'est Ludo qui a fait la cuisine mais je ne sais pas si quelqu'un d'autre a fait la cuisine	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	4	3	Ind	Exc	Subj	A l'auberge, Mélanie, Ludo et Cyrille font souvent la cuisine.	Ce soir, il n'y a que Ludo qui a fait la cuisine mais je ne sais pas si quelqu'un d'autre a fait la cuisine	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	4	4	Def	Can	Subj	A l'auberge, Mélanie, Ludo et Cyrille font souvent la cuisine.	Ce soir, Ludo a fait la cuisine mais je ne sais pas si les autres ont fait la cuisine	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	4	5	Def	Clv	Subj	A l'auberge, Mélanie, Ludo et Cyrille font souvent la cuisine.	Ce soir, c'est Ludo qui a fait la cuisine mais je ne sais pas si les autres ont fait la cuisine	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	4	6	Def	Exc	Subj	A l'auberge, Mélanie, Ludo et Cyrille font souvent la cuisine.	Ce soir, il n'y a que Ludo qui a fait la cuisine mais je ne sais pas si les autres ont fait la cuisine	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	5	1	Ind	Can	Subj	Nadir, Marie-France et Christopher sortent le chien de la vieille voisine quand elle est trop fatiguée pour le faire	Aujourd'hui, Marie-France a sorti le chien mais je ne sais pas si quelqu'un d'autre l'a fait	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	5	2	Ind	Clv	Subj	Nadir, Marie-France et Christopher sortent le chien de la vieille voisine quand elle est trop fatiguée pour le faire	Aujourd'hui, c'est Marie-France qui a sorti le chien mais je ne sais pas si quelqu'un d'autre l'a fait	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	5	3	Ind	Exc	Subj	Nadir, Marie-France et Christopher sortent le chien de la vieille voisine quand elle est trop fatiguée pour le faire	Aujourd'hui, il n'y a que Marie-France qui a sorti le chien mais je ne sais pas si quelqu'un d'autre l'a fait	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	5	4	Def	Can	Subj	Nadir, Marie-France et Christopher sortent le chien de la vieille voisine quand elle est trop fatiguée pour le faire	Aujourd'hui, Marie-France a sorti le chien mais je ne sais pas si les autres l'ont fait	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	5	5	Def	Clv	Subj	Nadir, Marie-France et Christopher sortent le chien de la vieille voisine quand elle est trop fatiguée pour le faire	Aujourd'hui, c'est Marie-France qui a sorti le chien mais je ne sais pas si les autres l'ont fait	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	5	6	Def	Exc	Subj	Nadir, Marie-France et Christopher sortent le chien de la vieille voisine quand elle est trop fatiguée pour le faire	Aujourd'hui, il n'y a que Marie-France qui a sorti le chien mais je ne sais pas si les autres l'ont fait	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	6	1	Ind	Can	Subj	Louna, Fred et Arthur s'assurent que la carafe d'eau est toujours pleine dans la salle d'attente.	Vendredi, Arthur y a veillé mais je ne sais pas si quelqu'un d'autre l'a fait aussi	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	6	2	Ind	Clv	Subj	Louna, Fred et Arthur s'assurent que la carafe d'eau est toujours pleine dans la salle d'attente.	Vendredi, c'est Arthur qui y a veillé mais je ne sais pas si quelqu'un d'autre l'a fait aussi	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	6	3	Ind	Exc	Subj	Louna, Fred et Arthur s'assurent que la carafe d'eau est toujours pleine dans la salle d'attente.	Vendredi, il n'y a que Arthur qui y a veillé mais je ne sais pas si quelqu'un d'autre l'a fait aussi	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	6	4	Def	Can	Subj	Louna, Fred et Arthur s'assurent que la carafe d'eau est toujours pleine dans la salle d'attente.	Vendredi, Arthur y a veillé mais je ne sais pas si les autres l'ont fait aussi	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	6	5	Def	Clv	Subj	Louna, Fred et Arthur s'assurent que la carafe d'eau est toujours pleine dans la salle d'attente.	Vendredi, c'est Arthur qui y a veillé mais je ne sais pas si les autres l'ont fait aussi	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	6	6	Def	Exc	Subj	Louna, Fred et Arthur s'assurent que la carafe d'eau est toujours pleine dans la salle d'attente.	Vendredi, il n'y a que Arthur qui y a veillé mais je ne sais pas si les autres l'ont fait aussi	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	7	1	Ind	Can	Nsubj	Louis téléphone souvent à ses tantes Elisa, Sophie et Solange.	Aujourd'hui, il a téléphoné à Elisa mais je ne sais pas s'il a téléphoné à quelqu'un d'autre.	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	7	2	Ind	Clv	Nsubj	Louis téléphone souvent à ses tantes Elisa, Sophie et Solange.	Aujourd'hui, c'est à Elisa qu'il a téléphoné mais je ne sais pas s'il a téléphoné à quelqu'un d'autre	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	7	3	Ind	Exc	Nsubj	Louis téléphone souvent à ses tantes Elisa, Sophie et Solange.	Aujourd'hui, il n'a téléphoné qu'à Elisa mais je ne sais pas s'il a téléphoné à quelqu'un d'autre	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	7	4	Def	Can	Nsubj	Louis téléphone souvent à ses tantes Elisa, Sophie et Solange.	Aujourd'hui, il a téléphoné à Elisa mais je ne sais pas s'il a téléphoné aux autres	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	7	5	Def	Clv	Nsubj	Louis téléphone souvent à ses tantes Elisa, Sophie et Solange.	Aujourd'hui, c'est à Elisa qu'il a téléphoné mais je ne sais pas s'il a téléphoné aux autres	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	7	6	Def	Exc	Nsubj	Louis téléphone souvent à ses tantes Elisa, Sophie et Solange.	Aujourd'hui, il n'a téléphoné qu'à Elisa mais je ne sais pas s'il a téléphoné aux autres	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	8	1	Ind	Can	Nsubj	Marie invite souvent Emile, Yuan et Eloïse à dîner. 	Ce mardi, elle a invité Yuan mais je ne sais pas si elle a invité quelqu'un d'autre	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	8	2	Ind	Clv	Nsubj	Marie invite souvent Emile, Yuan et Eloïse à dîner. 	Ce mardi, c'est Yuan qu'elle a invité mais je ne sais pas si elle a invité quelqu'un d'autre	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	8	3	Ind	Exc	Nsubj	Marie invite souvent Emile, Yuan et Eloïse à dîner. 	Ce mardi, elle n'a invité que Yuan mais je ne sais pas si elle a invité quelqu'un d'autre	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	8	4	Def	Can	Nsubj	Marie invite souvent Emile, Yuan et Eloïse à dîner. 	Ce mardi, elle a invité Yuan mais je ne sais pas si elle a invité les autres	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	8	5	Def	Clv	Nsubj	Marie invite souvent Emile, Yuan et Eloïse à dîner. 	Ce mardi, c'est Yuan qu'elle a invité mais je ne sais pas si elle a invité les autres	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	8	6	Def	Exc	Nsubj	Marie invite souvent Emile, Yuan et Eloïse à dîner. 	Ce mardi, elle n'a invité que Yuan mais je ne sais pas si elle a invité les autres	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	9	1	Ind	Can	Nsubj	Stéphanie se dispute souvent avec Audrey, Karim et Virginie, ses collègues de bureau.	Cette semaine, elle s'est disputée avec Audrey mais je ne sais pas si elle s'est disputée avec quelqu'un d'autre	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	9	2	Ind	Clv	Nsubj	Stéphanie se dispute souvent avec Audrey, Karim et Virginie, ses collègues de bureau.	Cette semaine, c'est avec Audrey qu'elle s'est disputée mais je ne sais pas si elle s'est disputée avec quelqu'un d'autre	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	9	3	Ind	Exc	Nsubj	Stéphanie se dispute souvent avec Audrey, Karim et Virginie, ses collègues de bureau.	Cette semaine, elle ne s'est disputée qu'avec Audrey mais je ne sais pas si elle s'est disputée avec quelqu'un d'autre	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	9	4	Def	Can	Nsubj	Stéphanie se dispute souvent avec Audrey, Karim et Virginie, ses collègues de bureau.	Cette semaine, elle s'est disputée avec Audrey mais je ne sais pas si elle s'est disputée avec les autres	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	9	5	Def	Clv	Nsubj	Stéphanie se dispute souvent avec Audrey, Karim et Virginie, ses collègues de bureau.	Cette semaine, c'est avec Audrey qu'elle s'est disputée mais je ne sais pas si elle s'est disputée avec les autres	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	9	6	Def	Exc	Nsubj	Stéphanie se dispute souvent avec Audrey, Karim et Virginie, ses collègues de bureau.	Cette semaine, elle ne s'est disputée qu'avec Audrey mais je ne sais pas si elle s'est disputée avec les autres	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	10	1	Ind	Can	Nsubj	Gaëlle a l'habitude de faire des tartes avec des pommes, des poires et des prunes de son jardin.	Ce samedi, elle a utilisé des prunes mais je ne sais pas si elle a utilisé d'autres fruits	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	10	2	Ind	Clv	Nsubj	Gaëlle a l'habitude de faire des tartes avec des pommes, des poires et des prunes de son jardin.	Ce samedi, c'est des prunes qu'elle a utilisées mais je ne sais pas si elle a utilisé d'autres fruits	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	10	3	Ind	Exc	Nsubj	Gaëlle a l'habitude de faire des tartes avec des pommes, des poires et des prunes de son jardin.	Ce samedi, elle n'a utilisé que des prunes mais je ne sais pas si elle a utilisé d'autres fruits	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	10	4	Def	Can	Nsubj	Gaëlle a l'habitude de faire des tartes avec des pommes, des poires et des prunes de son jardin.	Ce samedi, elle a utilisé des prunes mais je ne sais pas si elle a utilisé les autres fruits	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	10	5	Def	Clv	Nsubj	Gaëlle a l'habitude de faire des tartes avec des pommes, des poires et des prunes de son jardin.	Ce samedi, c'est des prunes qu'elle a utilisées mais je ne sais pas si elle a utilisé les autres fruits	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	10	6	Def	Exc	Nsubj	Gaëlle a l'habitude de faire des tartes avec des pommes, des poires et des prunes de son jardin.	Ce samedi, elle n'a utilisé que des prunes mais je ne sais pas si elle a utilisé les autres fruits	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	11	1	Ind	Can	Nsubj	Agathe récupère parfois Mathilda, Chloé et Lucie, les copines de sa fille, à la sortie de l'école.	Tout à l'heure, elle a récupéré Chloé, mais je ne sais pas si elle a récupéré d'autres enfants	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	11	2	Ind	Clv	Nsubj	Agathe récupère parfois Mathilda, Chloé et Lucie, les copines de sa fille, à la sortie de l'école.	Tout à l'heure, c'est Chloé qu'elle a récupéré, mais je ne sais pas si elle a récupéré d'autres enfants	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	11	3	Ind	Exc	Nsubj	Agathe récupère parfois Mathilda, Chloé et Lucie, les copines de sa fille, à la sortie de l'école.	Tout à l'heure, elle n'a récupéré que Chloé, mais je ne sais pas si elle a récupéré d'autres enfants	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	11	4	Def	Can	Nsubj	Agathe récupère parfois Mathilda, Chloé et Lucie, les copines de sa fille, à la sortie de l'école.	Tout à l'heure, elle a récupéré Chloé, mais je ne sais pas si elle a récupéré les autres enfants	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	11	5	Def	Clv	Nsubj	Agathe récupère parfois Mathilda, Chloé et Lucie, les copines de sa fille, à la sortie de l'école.	Tout à l'heure, c'est Chloé qu'elle a récupérée, mais je ne sais pas si elle a récupéré les autres enfants	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	11	6	Def	Exc	Nsubj	Agathe récupère parfois Mathilda, Chloé et Lucie, les copines de sa fille, à la sortie de l'école.	Tout à l'heure, elle n'a récupéré que Chloé, mais je ne sais pas si elle a récupéré les autres enfants	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	12	1	Ind	Can	Nsubj	A la ferme, les enfants aiment bien nourrir les poules, les chèvres et les chevaux.	Hier, Robin a nourri les chèvres, mais je ne sais pas s'il a nourri d'autres animaux	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	12	2	Ind	Clv	Nsubj	A la ferme, les enfants aiment bien nourrir les poules, les chèvres et les chevaux.	Hier, c'est les chèvres que Robin a nourries, mais je ne sais pas s'il a nourri d'autres animaux	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	12	3	Ind	Exc	Nsubj	A la ferme, les enfants aiment bien nourrir les poules, les chèvres et les chevaux.	Hier, Robin n'a nourri que les chèvres, mais je ne sais pas s'il a nourri d'autres animaux	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	12	4	Def	Can	Nsubj	A la ferme, les enfants aiment bien nourrir les poules, les chèvres et les chevaux.	Hier, Robin a nourri les chèvres, mais je ne sais pas s'il a nourri les autres animaux	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	12	5	Def	Clv	Nsubj	A la ferme, les enfants aiment bien nourrir les poules, les chèvres et les chevaux.	Hier, c'est les chèvres que Robin a nourri, mais je ne sais pas s'il a nourri les autres animaux	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	12	6	Def	Exc	Nsubj	A la ferme, les enfants aiment bien nourrir les poules, les chèvres et les chevaux.	Hier, Robin n'a nourri que les chèvres, mais je ne sais pas s'il a nourri les autres animaux	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
