experiment	URposition	TypeNP	item	condition	Context	particle	presenceToo	syntax	contextFile	wavFile	text	context	question	design	qType
addmanip	object-even	Proper N	4	6	nonadditive	hattaHam	Too	postnominal	evenContext_item4_nonadditive.wav	evenResponse_item4_8fullposttoo.wav	قطر رو هم حتی انتخاب کرد.	  برای میزبانی جام جهانی فوتبال، کشور کاندید می بایست آب و هوای خوبی داشته باشد. برای جام جهانی 2022، هیچ یک از کشورهای کاندید شده شرایط آب و هوایی خوبی نداشتند. اما فیفا امسال به مسئله آب و هوای میزبان اهمیت نداد و یک کشور رو انتخاب کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	4	7	additive	hatta 	NoToo	postnominal	evenContext_item4_additive.wav	evenResponse_item4_7fullpostnotoo.wav	قطر رو حتی انتخاب کرد.	  برای میزبانی جام جهانی فوتبال، کشور کاندید می بایست آب و هوای خوبی داشته باشد. هیچ یک از کشورهای کاندید برای سه جام جهانی آینده، شرایط آب و هوایی خوبی نداشتند. اما فیفا امسال به مسئله آب و هوای میزبان اهمیت نداد و سه کشو رو انتخاب کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	4	8	nonadditive	hatta 	NoToo	postnominal	evenContext_item4_nonadditive.wav	evenResponse_item4_7fullpostnotoo.wav	قطر رو حتی انتخاب کرد.	  برای میزبانی جام جهانی فوتبال، کشور کاندید می بایست آب و هوای خوبی داشته باشد. برای جام جهانی 2022، هیچ یک از کشورهای کاندید شده شرایط آب و هوایی خوبی نداشتند. اما فیفا امسال به مسئله آب و هوای میزبان اهمیت نداد و یک کشور رو انتخاب کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	5	1	additive	hattaHam	Too	prenominal	evenContext_item5_additive.wav	evenResponse_item5_6fullpretoo.wav	حتی یه دانشجو رو هم استخدام کرد.	مدت طولانی بود که مدیر دبیرستان ما به دنبال چند معلم برای دروس مختلف بود.  او بالاخره چندین نفررا استخدام کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	5	2	nonadditive	hattaHam	Too	prenominal	evenContext_item5_nonadditive.wav	evenResponse_item5_6fullpretoo.wav	حتی یه دانشجو رو هم استخدام کرد.	مدت طولانی بود که که مدیر دبیرستان ما به دنبال یک معلم برای درس ریاضی می گشت.  او بالاخره یک نفر را برای این درس استخدام کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	5	3	additive	hatta 	NoToo	prenominal	evenContext_item5_additive.wav	evenResponse_item5_5fullprenotoo.wav	حتی یه دانشجو رو استخدام کرد.	مدت طولانی بود که مدیر دبیرستان ما به دنبال چند معلم برای دروس مختلف بود.  او بالاخره چندین نفررا استخدام کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	5	4	nonadditive	hatta 	NoToo	prenominal	evenContext_item5_nonadditive.wav	evenResponse_item5_5fullprenotoo.wav	حتی یه دانشجو رو استخدام کرد.	مدت طولانی بود که که مدیر دبیرستان ما به دنبال یک معلم برای درس ریاضی می گشت.  او بالاخره یک نفر را برای این درس استخدام کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	5	5	additive	hattaHam	Too	postnominal	evenContext_item5_additive.wav	evenResponse_item5_8fullposttoo.wav	یه دانشجو رو هم حتی استخدام کرد.	مدت طولانی بود که مدیر دبیرستان ما به دنبال چند معلم برای دروس مختلف بود.  او بالاخره چندین نفررا استخدام کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	5	6	nonadditive	hattaHam	Too	postnominal	evenContext_item5_nonadditive.wav	evenResponse_item5_8fullposttoo.wav	یه دانشجو رو هم حتی استخدام کرد.	مدت طولانی بود که که مدیر دبیرستان ما به دنبال یک معلم برای درس ریاضی می گشت.  او بالاخره یک نفر را برای این درس استخدام کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	5	7	additive	hatta 	NoToo	postnominal	evenContext_item5_additive.wav	evenResponse_item5_7fullpostnotoo.wav	یه دانشجو رو حتی استخدام کرد.	مدت طولانی بود که مدیر دبیرستان ما به دنبال چند معلم برای دروس مختلف بود.  او بالاخره چندین نفررا استخدام کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	5	8	nonadditive	hatta 	NoToo	postnominal	evenContext_item1_nonadditive.wav	evenResponse_item5_7fullpostnotoo.wav	یه دانشجو رو حتی استخدام کرد.	مدت طولانی بود که که مدیر دبیرستان ما به دنبال یک معلم برای درس ریاضی می گشت.  او بالاخره یک نفر را برای این درس استخدام کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	6	1	additive	hattaHam	Too	prenominal	evenContext_item6_additive.wav	evenResponse_item6_6fullpretoo.wav	حتی بیست هم گرفتم.	ترم قبل تعداد زیادی درس داشتم. امتحانات فاینال بسیار سخت بودند و من نگران بودم که مردود شوم. اما در نهایت چند تا نمره ی خوب گرفتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	6	2	nonadditive	hattaHam	Too	prenominal	evenContext_item6_nonadditive.wav	evenResponse_item6_6fullpretoo.wav	حتی بیست هم گرفتم.	ترم قبل فقط یک درس داشتم. امتحان فاینال این درس بسیار سخت بود و من نگران بودم که مردود شوم. اما در نهایت یه نمره ی خوب توامتحان فاینالم گرفتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	6	3	additive	hatta 	NoToo	prenominal	evenContext_item6_additive.wav	evenResponse_item6_5fullprenotoo.wav	حتی بیست گرفتم.	ترم قبل تعداد زیادی درس داشتم. امتحانات فاینال بسیار سخت بودند و من نگران بودم که مردود شوم. اما در نهایت چند تا نمره ی خوب گرفتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	6	4	nonadditive	hatta 	NoToo	prenominal	evenContext_item6_nonadditive.wav	evenResponse_item6_5fullprenotoo.wav	حتی بیست گرفتم.	ترم قبل فقط یک درس داشتم. امتحان فاینال این درس بسیار سخت بود و من نگران بودم که مردود شوم. اما در نهایت یه نمره ی خوب توامتحان فاینالم گرفتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	6	5	additive	hattaHam	Too	postnominal	evenContext_item6_additive.wav	evenResponse_item6_8fullposttoo.wav	بیست هم حتی گرفتم.	ترم قبل تعداد زیادی درس داشتم. امتحانات فاینال بسیار سخت بودند و من نگران بودم که مردود شوم. اما در نهایت چند تا نمره ی خوب گرفتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	6	6	nonadditive	hattaHam	Too	postnominal	evenContext_item6_nonadditive.wav	evenResponse_item6_8fullposttoo.wav	بیست هم حتی گرفتم.	ترم قبل فقط یک درس داشتم. امتحان فاینال این درس بسیار سخت بود و من نگران بودم که مردود شوم. اما در نهایت یه نمره ی خوب توامتحان فاینالم گرفتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	6	7	additive	hatta 	NoToo	postnominal	evenContext_item6_additive.wav	evenResponse_item6_7fullpostnotoo.wav	بیست حتی گرفتم.	ترم قبل تعداد زیادی درس داشتم. امتحانات فاینال بسیار سخت بودند و من نگران بودم که مردود شوم. اما در نهایت چند تا نمره ی خوب گرفتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	6	8	nonadditive	hatta 	NoToo	postnominal	evenContext_item6_nonadditive.wav	evenResponse_item6_7fullpostnotoo.wav	بیست حتی گرفتم.	ترم قبل فقط یک درس داشتم. امتحان فاینال این درس بسیار سخت بود و من نگران بودم که مردود شوم. اما در نهایت یه نمره ی خوب توامتحان فاینالم گرفتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	7	1	additive	hattaHam	Too	prenominal	evenContext_item7_additive.wav	evenResponse_item7_6fullpretoo.wav	حتی تک هم داشتم.	   داشتیم یک بازی با ورق می کردیم که تو آن هر نفر پنج ورق تو دستش داشت. کسی که بالاترین ورق را تو دستش داشت، برنده ی بازی بود. تک بالاتر از شاه است، شاه بالاتر از بی بی، بی بی بالاتر از سرباز و غیره. آخر بازی مینا از من پرسید که آیا تو دستم سرباز دارم. ولی من چند تا ورق بهترداشتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	7	2	nonadditive	hattaHam	Too	prenominal	evenContext_item7_nonadditive.wav	evenResponse_item7_6fullpretoo.wav	حتی تک هم داشتم.	   داشتیم یک بازی با ورق می کردیم که تو آن هر نفرفقط یک ورق تو دستش داشت. کسی که بالاترین ورق را تو دستش داشت، برنده ی بازی بود. تک بالاتر از شاه است، شاه بالاتر از بی بی، بی بی بالاتر از سرباز و غیره. آخر بازی مینا از من پرسید که آیا تو دستم سرباز دارم. ولی من یه ورق بهتر تو دستم داشتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	7	3	additive	hatta 	NoToo	prenominal	evenContext_item7_additive.wav	evenResponse_item7_5fullprenotoo.wav	حتی تک داشتم.	   داشتیم یک بازی با ورق می کردیم که تو آن هر نفر پنج ورق تو دستش داشت. کسی که بالاترین ورق را تو دستش داشت، برنده ی بازی بود. تک بالاتر از شاه است، شاه بالاتر از بی بی، بی بی بالاتر از سرباز و غیره. آخر بازی مینا از من پرسید که آیا تو دستم سرباز دارم. ولی من چند تا ورق بهترداشتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	7	4	nonadditive	hatta 	NoToo	prenominal	evenContext_item7_nonadditive.wav	evenResponse_item7_5fullprenotoo.wav	حتی تک داشتم.	   داشتیم یک بازی با ورق می کردیم که تو آن هر نفرفقط یک ورق تو دستش داشت. کسی که بالاترین ورق را تو دستش داشت، برنده ی بازی بود. تک بالاتر از شاه است، شاه بالاتر از بی بی، بی بی بالاتر از سرباز و غیره. آخر بازی مینا از من پرسید که آیا تو دستم سرباز دارم. ولی من یه ورق بهتر تو دستم داشتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	7	5	additive	hattaHam	Too	postnominal	evenContext_item7_additive.wav	evenResponse_item7_8fullposttoo.wav	تک هم حتی داشتم.	   داشتیم یک بازی با ورق می کردیم که تو آن هر نفر پنج ورق تو دستش داشت. کسی که بالاترین ورق را تو دستش داشت، برنده ی بازی بود. تک بالاتر از شاه است، شاه بالاتر از بی بی، بی بی بالاتر از سرباز و غیره. آخر بازی مینا از من پرسید که آیا تو دستم سرباز دارم. ولی من چند تا ورق بهترداشتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	7	6	nonadditive	hattaHam	Too	postnominal	evenContext_item7_nonadditive.wav	evenResponse_item7_8fullposttoo.wav	تک هم حتی داشتم.	   داشتیم یک بازی با ورق می کردیم که تو آن هر نفرفقط یک ورق تو دستش داشت. کسی که بالاترین ورق را تو دستش داشت، برنده ی بازی بود. تک بالاتر از شاه است، شاه بالاتر از بی بی، بی بی بالاتر از سرباز و غیره. آخر بازی مینا از من پرسید که آیا تو دستم سرباز دارم. ولی من یه ورق بهتر تو دستم داشتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Indefinite	7	7	additive	hatta 	NoToo	postnominal	evenContext_item7_additive.wav	evenResponse_item7_7fullpostnotoo.wav	تک حتی داشتم.	   داشتیم یک بازی با ورق می کردیم که تو آن هر نفر پنج ورق تو دستش داشت. کسی که بالاترین ورق را تو دستش داشت، برنده ی بازی بود. تک بالاتر از شاه است، شاه بالاتر از بی بی، بی بی بالاتر از سرباز و غیره. آخر بازی مینا از من پرسید که آیا تو دستم سرباز دارم. ولی من چند تا ورق بهترداشتم.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
